email;passwordHash;tipo;idOuSigla
20260001@issmf.ipp.pt;bHCnuST2MMWLll2Fn4VmEQ==:hrExwXyV3RhVfCAALk0IfOtU8OD/QkdPFFttg3LZI0g=;ESTUDANTE;20260001
20260002@issmf.ipp.pt;BWL7ES8V9W2+6Pc5rTB8Rg==:8/T1UcIJWcv7DWGhWgNrsvB4mgVZP78HP/BAMe79+PI=;ESTUDANTE;20260002
20260003@issmf.ipp.pt;TbhC8D6deMzwRUZJGGa5YA==:S0X4qojTayle9Dc7KEoqydKXYfvq/afgZon1LTd3Hbw=;ESTUDANTE;20260003
20260004@issmf.ipp.pt;+oZCnfpEWjJM+Z77CLGtwg==:z5pTuMGDBlPNseV8JNFWrjcUHOStGASvEw3m6SZz35E=;ESTUDANTE;20260004
20260005@issmf.ipp.pt;qn2UV5Zm5b9HAHjCinZ8Fg==:fvOMWCkrdneoHha2fqzIs2C2DJ5Tj51uxFZoCTMBMvA=;ESTUDANTE;20260005
20260006@issmf.ipp.pt;6q5pwLrlT58QjUJoHmD1/w==:B7nQRVYWT/Nb5dPJ9LV0+idrVoTHQULKjXWnahphnwk=;ESTUDANTE;20260006
20260007@issmf.ipp.pt;QLXZIajZWmnB17kGd/+nIQ==:HjmOXKt2CCZs/tYd14F9m0WCrDCVlaTr3L1lhNWurlc=;ESTUDANTE;20260007
20260008@issmf.ipp.pt;wCuVah9CEIcxsFA0C2DdGA==:o+Rd2VgIEfN9uuCmaGrtQwqK7rLYZ61G7sxsxRKe38E=;ESTUDANTE;20260008
20260009@issmf.ipp.pt;ihC/xXEbSTFks/5VtIuzBA==:MOntkjswq2r4I0JLllXp5zJajA6lG8O5mTCZGTdcibA=;ESTUDANTE;20260009
abc@issmf.ipp.pt;mIqdOp/aG8PtZh3Et8ipig==:zJ2vwfibsDDTRL3b3YBemR/6sQWIK5EmReV5xxZVojA=;DOCENTE;ABC
xyz@issmf.ipp.pt;QVDQ22wYOyB1x8qGxL4sIg==:Bm2RLzgiNT6ucTgi7S0lDhwK0lSJymjuxrs/YRbDC7M=;DOCENTE;XYZ
mno@issmf.ipp.pt;6l79UkK2GM758pj6fxyTJg==:LAJ7j48Z4kdLB0LJL0EH5U6sTa+wT+AtSmZGZcgK+os=;DOCENTE;MNO
backoffice@issmf.ipp.pt;Vkx9fRxwOTofEuaGbAVi1A==:3lC+Q6f19Bk1N/ar7MbRKxT4VKW1yPCgqMD9KXz8qSs=;GESTOR;1
